,#label,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,semantic_similarity_nouns,semantic_similarity_verbs,"semantic_similarity_adjectives
"
0,0.0,miniklexi_0,7.285714,4.862744999999999,1.627451,102,2.214286,3.857143,0.07142899999999999,0.357143,0.0,0.17647100000000002,0.08823500000000001,0.235294,0.10784300000000001,0.097345,0.058824,0.08823500000000001,0.04902,0.17647100000000002,0.137255,0.683168,7.4067110000000005,1.285714,0.642857,0.14285699999999998,1.0714290000000002,0.164365,0.339265,0.32953899999999997
1,0.0,miniklexi_1,8.090909,4.494382,1.539326,89,2.454545,4.363636,0.0,0.363636,0.090909,0.11235999999999999,0.056179999999999994,0.191011,0.056179999999999994,0.091837,0.224719,0.011236,0.011236,0.157303,0.146067,0.590909,7.652425999999999,0.909091,0.090909,1.454545,0.272727,0.207224,0.405196,0.241409
2,0.0,miniklexi_2,7.1875,4.521739,1.634783,115,2.75,3.5,0.3125,0.6875,0.0625,0.12173900000000001,0.017391,0.347826,0.026087,0.128788,0.22608699999999998,0.052174,0.017391,0.208696,0.113043,0.517544,8.269501,0.875,0.375,1.3125,0.375,0.257176,0.401604,0.011698
3,0.0,miniklexi_3,7.2,5.0,1.7430560000000002,144,2.0,3.85,0.15,0.35,0.0,0.138889,0.076389,0.243056,0.11111099999999999,0.1,0.138889,0.083333,0.020833,0.208333,0.090278,0.531469,7.80238,1.0,0.6,0.6,0.8,0.249245,0.44926800000000006,0.249822
4,0.0,miniklexi_4,6.235294000000001,5.132075,1.877358,106,2.176471,3.470588,0.117647,0.470588,0.0,0.141509,0.04717,0.264151,0.066038,0.10169500000000001,0.160377,0.084906,0.009434,0.18867899999999999,0.122642,0.704762,7.951559,0.882353,0.529412,0.647059,0.41176499999999994,0.16145299999999999,0.38616100000000003,0.202404
5,0.0,miniklexi_5,7.2,4.7291669999999995,1.666667,144,2.4,3.75,0.1,0.5,0.05,0.125,0.048611,0.21527800000000002,0.076389,0.09434,0.10416700000000001,0.131944,0.027777999999999997,0.208333,0.138889,0.65035,8.063158999999999,0.9,0.95,0.5,0.6,0.12900599999999998,0.42348500000000006,0.217662
6,0.0,miniklexi_6,8.230769,5.1682239999999995,1.7196259999999999,107,2.692308,4.307691999999999,0.153846,0.538462,0.0,0.14018699999999998,0.056075,0.186916,0.046729,0.10169500000000001,0.168224,0.046729,0.037383,0.168224,0.130841,0.588785,7.84001,1.153846,0.384615,0.6153850000000001,0.6153850000000001,0.24551900000000002,0.275861,0.248073
7,0.0,miniklexi_7,4.3125,4.434783,1.594203,69,1.5625,3.0,0.0625,0.375,0.0,0.202899,0.086957,0.21739099999999997,0.043477999999999996,0.15853699999999998,0.115942,0.101449,0.043477999999999996,0.318841,0.086957,0.602941,8.044672,0.875,0.4375,0.3125,0.1875,0.19289800000000001,0.43590500000000004,0.139337
8,0.0,miniklexi_8,6.6666669999999995,5.266667,1.9333330000000002,120,1.833333,3.833333,0.0,0.166667,0.11111099999999999,0.191667,0.125,0.225,0.083333,0.117647,0.13333299999999998,0.075,0.008333,0.191667,0.06666699999999999,0.658333,7.2062669999999995,1.277778,0.5,0.5,0.555556,0.072949,0.430237,0.391642
9,0.0,miniklexi_9,7.181817999999999,4.506329,1.56962,79,2.181818,3.5454550000000005,0.090909,0.636364,0.181818,0.101266,0.012657999999999999,0.18987300000000001,0.075949,0.091954,0.18987300000000001,0.025315999999999998,0.0,0.18987300000000001,0.177215,0.628205,7.774436,0.727273,0.181818,0.545455,0.272727,0.204404,0.494618,0.252067
