,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,semantic_similarity_nouns,semantic_similarity_verbs,semantic_similarity_adjectives,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,Contingency.Cause.Reason,Expansion.Substitution.Arg2-as-subst,Contingency.Cause.Result,Contingency.Purpose.Arg1-as-goal,Expansion.Conjunction,Temporal.Asynchronous.Succession,Comparison.Contrast,Temporal.Asynchronous.Precedence,Expansion.Exception.Arg2-as-except,Comparison.Concession.Arg1-as-denier,Contingency.Negative-condition.Arg2-as-negCond,Expansion.Disjunction,Expansion.Manner.Arg1-as-manner,Contingency.Negative-condition.Arg1-as-negCond,Comparison.Concession.Arg2-as-denier,Temporal.Synchronous,Contingency.Purpose.Arg2-as-goal,Expansion.Exception.Arg1-as-except,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Substitution.Arg1-as-subst,Contingency.Condition.Arg1-as-cond,Expansion.Instantiation.Arg2-as-instance,Contingency.Condition.Arg2-as-cond,Expansion.Equivalence,Expansion.Manner.Arg2-as-manner
33,summary_FFN_maz-13915,19.666667,4.898305000000001,1.7288139999999999,59,6.3333330000000005,7.0,2.0,0.666667,0.0,0.186441,0.050847,0.22033899999999998,0.033898000000000005,0.132353,0.118644,0.084746,0.050847,0.20339000000000002,0.118644,0.767857,7.643211999999999,3.666667,0.188538,0.513205,-0.070725,1.666667,2.333333,3.0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0
34,summary_FFN_maz-13946,19.0,5.9736839999999995,2.105263,152,5.125,7.375,0.75,0.5,0.0,0.125,0.046053,0.256579,0.11184200000000001,0.126437,0.14473699999999998,0.032895,0.026316000000000003,0.22368400000000002,0.138158,0.673611,8.606061,2.375,0.216166,0.48580200000000007,0.288521,0.625,1.875,1.75,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,4,3,0,0,0,0,0,0,1,0
35,summary_FFN_maz-14047,22.8,6.657895,2.2807020000000002,114,6.2,8.2,0.6,0.2,0.0,0.192982,0.070175,0.192982,0.06140399999999999,0.06557400000000001,0.175439,0.052632000000000005,0.070175,0.140351,0.078947,0.6880729999999999,7.959625,4.4,0.146215,0.42811899999999997,0.221992,1.2,2.6,2.2,0,1,0,0,5,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
36,summary_FFN_maz-14055,25.5,5.852941,2.078431,102,7.25,7.0,2.0,0.0,0.0,0.186275,0.08823500000000001,0.21568600000000002,0.058824,0.12820499999999999,0.196078,0.058824,0.04902,0.205882,0.078431,0.731959,8.070594,4.75,0.22146799999999997,0.282398,0.15943,1.5,3.75,1.5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
37,summary_FFN_maz-14071,15.5,5.870968,2.0967740000000004,31,4.5,6.0,1.5,0.0,0.0,0.225806,0.12903199999999998,0.193548,0.06451599999999999,0.138889,0.032257999999999995,0.06451599999999999,0.0,0.225806,0.096774,0.896552,7.846667999999999,3.5,0.272148,0.39832,0.237679,1.0,0.5,2.0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,summary_FFN_maz-14072,10.333333,5.967741999999999,2.16129,31,3.666667,5.3333330000000005,0.666667,0.666667,0.333333,0.12903199999999998,0.0,0.225806,0.096774,0.138889,0.12903199999999998,0.12903199999999998,0.096774,0.225806,0.032257999999999995,0.827586,8.443612,1.333333,0.079475,0.39231,0.404049,1.333333,1.333333,1.333333,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,summary_FFN_maz-14172,34.0,5.352941,1.8382349999999998,68,9.0,9.0,4.0,0.0,0.0,0.147059,0.073529,0.205882,0.08823500000000001,0.139241,0.17647100000000002,0.044118,0.029412,0.205882,0.073529,0.769231,8.080200999999999,5.0,0.168245,0.549044,0.297663,1.5,3.5,3.5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
40,summary_FFN_maz-1423,16.666667,6.18,2.16,50,4.3333330000000005,8.0,1.333333,0.666667,0.0,0.16,0.04,0.26,0.1,0.122807,0.14,0.0,0.04,0.22,0.12,0.893617,7.7642869999999995,2.666667,0.24418800000000002,0.387165,0.142805,0.0,1.333333,1.666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
41,summary_FFN_maz-14384,15.6,5.371795,1.7179490000000002,78,4.4,5.8,0.6,0.4,0.0,0.11538499999999999,0.05128200000000001,0.24359,0.064103,0.09302300000000001,0.17948699999999998,0.038462,0.05128200000000001,0.153846,0.10256400000000002,0.743243,7.901355000000001,1.8,0.158724,0.453801,0.182043,0.6,1.8,1.4,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,summary_FFN_maz-14399,18.25,5.780822,2.0958900000000003,73,5.75,7.5,1.5,0.75,0.0,0.164384,0.054795,0.260274,0.082192,0.179775,0.136986,0.027397,0.068493,0.287671,0.068493,0.8115939999999999,8.613228999999999,3.0,0.158709,0.43047399999999997,0.18565,0.5,2.0,1.75,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
